Month,Day,Year
1,1,2017
1,3,2017
1,4,2017
1,5,2017
1,5,2017
1,11,2017
1,12,2017
1,13,2017
1,13,2017
1,14,2017
1,15,2017
1,15,2017
1,16,2017
1,16,2017
1,17,2017
1,23,2017
1,25,2017
1,26,2017
1,28,2017
1,31,2017
2,1,2017
2,1,2017
2,10,2017
2,15,2017
2,19,2017
2,20,2017
2,20,2017
2,21,2017
2,24,2017
2,25,2017
3,3,2017
3,5,2017
3,12,2017
3,12,2017
3,13,2017
3,13,2017
3,13,2017
3,14,2017
3,21,2017
3,23,2017
3,23,2017
3,28,2017
3,28,2017
3,28,2017
3,29,2017
3,29,2017
3,30,2017
4,1,2017
4,1,2017
4,4,2017
4,5,2017
4,5,2017
4,8,2017
4,9,2017
4,11,2017
4,13,2017
4,13,2017
4,14,2017
4,14,2017
4,14,2017
4,14,2017
4,14,2017
4,14,2017
4,15,2017
4,15,2017
4,15,2017
4,15,2017
4,15,2017
4,16,2017
4,21,2017
4,24,2017
4,27,2017
4,28,2017
4,29,2017
4,29,2017
5,1,2017
5,1,2017
5,1,2017
5,9,2017
5,10,2017
5,16,2017
5,26,2017
5,28,2017
5,29,2017
6,9,2017
6,10,2017
6,11,2017
6,14,2017
6,15,2017
6,22,2017
6,23,2017
6,25,2017
6,25,2017
6,26,2017
6,27,2017
6,30,2017
7,1,2017
7,5,2017
7,6,2017
7,10,2017
7,13,2017
7,15,2017
7,17,2017
7,19,2017
7,24,2017
7,26,2017
7,31,2017
8,7,2017
8,14,2017
8,15,2017
8,15,2017
8,15,2017
8,16,2017
8,17,2017
8,22,2017
8,23,2017
8,23,2017
8,25,2017
8,25,2017
8,25,2017
8,25,2017
8,26,2017
8,30,2017
9,1,2017
9,1,2017
9,2,2017
9,2,2017
9,2,2017
9,3,2017
9,4,2017
9,6,2017
9,10,2017
9,12,2017
9,17,2017
9,19,2017
9,20,2017
9,21,2017
9,21,2017
9,23,2017
9,27,2017
9,28,2017
9,28,2017
9,28,2017
9,28,2017
9,28,2017
9,29,2017
9,29,2017
9,29,2017
9,29,2017
9,30,2017
9,30,2017
9,30,2017
9,30,2017
10,1,2017
10,1,2017
10,2,2017
10,3,2017
10,4,2017
10,5,2017
10,5,2017
10,7,2017
10,18,2017
10,18,2017
10,18,2017
10,18,2017
10,19,2017
10,19,2017
10,19,2017
10,20,2017
10,20,2017
10,20,2017
10,20,2017
10,20,2017
10,21,2017
10,21,2017
10,26,2017
10,31,2017
11,1,2017
11,1,2017
11,1,2017
11,1,2017
11,3,2017
11,4,2017
11,4,2017
11,6,2017
11,10,2017
11,14,2017
11,23,2017
11,23,2017
11,24,2017
12,1,2017
12,1,2017
12,2,2017
12,2,2017
12,2,2017
12,2,2017
12,3,2017
12,5,2017
12,8,2017
12,12,2017
12,18,2017
12,18,2017
12,19,2017
12,25,2017
12,25,2017
12,26,2017
12,26,2017
12,30,2017
1,1,2018
1,2,2018
1,5,2018
1,11,2018
1,12,2018
1,14,2018
1,14,2018
1,14,2018
1,14,2018
1,15,2018
1,15,2018
1,15,2018
1,15,2018
1,16,2018
1,17,2018
1,17,2018
1,22,2018
1,22,2018
1,22,2018
1,23,2018
1,23,2018
1,25,2018
1,26,2018
1,31,2018
1,31,2018
1,31,2018
2,13,2018
2,13,2018
2,14,2018
2,15,2018
2,19,2018
2,20,2018
2,20,2018
3,1,2018
3,1,2018
3,2,2018
3,2,2018
3,2,2018
3,2,2018
3,3,2018
3,3,2018
3,5,2018
3,18,2018
3,18,2018
3,18,2018
3,18,2018
3,18,2018
3,18,2018
3,19,2018
3,20,2018
3,22,2018
3,23,2018
3,24,2018
3,25,2018
3,26,2018
3,29,2018
3,29,2018
3,29,2018
3,29,2018
3,30,2018
3,30,2018
4,1,2018
4,1,2018
4,1,2018
4,2,2018
4,5,2018
4,14,2018
4,14,2018
4,14,2018
4,14,2018
4,14,2018
4,14,2018
4,14,2018
4,15,2018
4,15,2018
4,15,2018
4,15,2018
4,16,2018
4,16,2018
4,18,2018
4,18,2018
4,21,2018
4,23,2018
4,30,2018
5,1,2018
5,1,2018
5,2,2018
5,2,2018
5,9,2018
5,12,2018
5,16,2018
5,26,2018
5,30,2018
6,8,2018
6,8,2018
6,11,2018
6,14,2018
6,15,2018
